user_id,rank,original_title,normalized_title,label,in_test_set,in_movie_lens,test_titles_clean
386,1,The Rock,rock,match,True,True,heavymetal; todiefor; rock; shallowgrave; serialmom; wyattearp; executivedecision; rumbleinbronxhontfaankui; quickanddead; readytowearpretporter; whatslovegottodowithit; strangedays; moneytrain; eraser
386,2,True Lies,truelies,in_dataset,False,True,heavymetal; todiefor; rock; shallowgrave; serialmom; wyattearp; executivedecision; rumbleinbronxhontfaankui; quickanddead; readytowearpretporter; whatslovegottodowithit; strangedays; moneytrain; eraser
386,3,Grosse Pointe Blank,grossepointeblank,in_dataset,False,True,heavymetal; todiefor; rock; shallowgrave; serialmom; wyattearp; executivedecision; rumbleinbronxhontfaankui; quickanddead; readytowearpretporter; whatslovegottodowithit; strangedays; moneytrain; eraser
386,4,Executive Decision,executivedecision,match,True,True,heavymetal; todiefor; rock; shallowgrave; serialmom; wyattearp; executivedecision; rumbleinbronxhontfaankui; quickanddead; readytowearpretporter; whatslovegottodowithit; strangedays; moneytrain; eraser
386,5,The Long Kiss Goodnight,longkissgoodnight,in_dataset,False,True,heavymetal; todiefor; rock; shallowgrave; serialmom; wyattearp; executivedecision; rumbleinbronxhontfaankui; quickanddead; readytowearpretporter; whatslovegottodowithit; strangedays; moneytrain; eraser
582,1,Inside Out,insideout,in_dataset,False,True,harrypotterandorderofphoenix; vforvendetta; fightclub; silenceoflambs; memento; imitationgame; startrek; harrypotterandprisonerofazkaban; harrypotterandgobletoffire; ironman; starwarsepisodeviiforceawakens; girlwithdragontattoo
582,2,Moonrise Kingdom,moonrisekingdom,in_dataset,False,True,harrypotterandorderofphoenix; vforvendetta; fightclub; silenceoflambs; memento; imitationgame; startrek; harrypotterandprisonerofazkaban; harrypotterandgobletoffire; ironman; starwarsepisodeviiforceawakens; girlwithdragontattoo
582,3,Shutter Island,shutterisland,in_dataset,False,True,harrypotterandorderofphoenix; vforvendetta; fightclub; silenceoflambs; memento; imitationgame; startrek; harrypotterandprisonerofazkaban; harrypotterandgobletoffire; ironman; starwarsepisodeviiforceawakens; girlwithdragontattoo
582,4,The Grand Budapest Hotel,grandbudapesthotel,in_dataset,False,True,harrypotterandorderofphoenix; vforvendetta; fightclub; silenceoflambs; memento; imitationgame; startrek; harrypotterandprisonerofazkaban; harrypotterandgobletoffire; ironman; starwarsepisodeviiforceawakens; girlwithdragontattoo
582,5,The Shape of Water,shapeofwater,in_dataset,False,True,harrypotterandorderofphoenix; vforvendetta; fightclub; silenceoflambs; memento; imitationgame; startrek; harrypotterandprisonerofazkaban; harrypotterandgobletoffire; ironman; starwarsepisodeviiforceawakens; girlwithdragontattoo
554,1,Sunset Boulevard,sunsetboulevard,not_in_dataset,False,False,pecker; fargo; savingprivateryan; silenceoflambs; graduate; starwarsepisodevempirestrikesback; slingblade; americanbeauty; etextraterrestrial; apocalypsenow; littlebigman; witness; austinpowersinternationalmanofmystery; austinpowersspywhoshaggedme; somewhereintime; hackers; visitorsvisiteursles; houseonhauntedhill
554,2,Singin' in the Rain,singininrain,in_dataset,False,True,pecker; fargo; savingprivateryan; silenceoflambs; graduate; starwarsepisodevempirestrikesback; slingblade; americanbeauty; etextraterrestrial; apocalypsenow; littlebigman; witness; austinpowersinternationalmanofmystery; austinpowersspywhoshaggedme; somewhereintime; hackers; visitorsvisiteursles; houseonhauntedhill
554,3,Rear Window,rearwindow,in_dataset,False,True,pecker; fargo; savingprivateryan; silenceoflambs; graduate; starwarsepisodevempirestrikesback; slingblade; americanbeauty; etextraterrestrial; apocalypsenow; littlebigman; witness; austinpowersinternationalmanofmystery; austinpowersspywhoshaggedme; somewhereintime; hackers; visitorsvisiteursles; houseonhauntedhill
554,4,The Apartment,apartment,in_dataset,False,True,pecker; fargo; savingprivateryan; silenceoflambs; graduate; starwarsepisodevempirestrikesback; slingblade; americanbeauty; etextraterrestrial; apocalypsenow; littlebigman; witness; austinpowersinternationalmanofmystery; austinpowersspywhoshaggedme; somewhereintime; hackers; visitorsvisiteursles; houseonhauntedhill
554,5,Casino,casino,in_dataset,False,True,pecker; fargo; savingprivateryan; silenceoflambs; graduate; starwarsepisodevempirestrikesback; slingblade; americanbeauty; etextraterrestrial; apocalypsenow; littlebigman; witness; austinpowersinternationalmanofmystery; austinpowersspywhoshaggedme; somewhereintime; hackers; visitorsvisiteursles; houseonhauntedhill
31,1,Back to the Future,backtofuture,match,True,True,rightstuff; deadpoetssociety; backtofuture; mshkmash; fantasia; fieldofdreams; beavisandbuttheaddoamerica; jerrymaguire; onefineday; pallbearer
31,2,The Goonies,goonies,in_dataset,False,True,rightstuff; deadpoetssociety; backtofuture; mshkmash; fantasia; fieldofdreams; beavisandbuttheaddoamerica; jerrymaguire; onefineday; pallbearer
31,3,Jurassic Park,jurassicpark,in_dataset,False,True,rightstuff; deadpoetssociety; backtofuture; mshkmash; fantasia; fieldofdreams; beavisandbuttheaddoamerica; jerrymaguire; onefineday; pallbearer
31,4,The Princess Diaries,princessdiaries,in_dataset,False,True,rightstuff; deadpoetssociety; backtofuture; mshkmash; fantasia; fieldofdreams; beavisandbuttheaddoamerica; jerrymaguire; onefineday; pallbearer
31,5,Ghostbusters,ghostbusters,in_dataset,False,True,rightstuff; deadpoetssociety; backtofuture; mshkmash; fantasia; fieldofdreams; beavisandbuttheaddoamerica; jerrymaguire; onefineday; pallbearer
34,1,Akira (1988),akira,in_dataset,False,True,vampirehunterdbloodlustbanpaiahantd; fahrenheit911; diehard; onceupontimeinchinawongfeihung; oncethiefzonghengsihai; ghostinshell2innocencekinnocenceinosensu; hardcandy; ongbakthaiwarriorongbak; shaolinsoccersiulamjukkau; dogma; shanghainoon; buffalosoldiers; hitch; ringuring; playingbyheart; planetofapes; hook; youvegotmail
34,2,Oldboy (2003),oldboy,in_dataset,False,True,vampirehunterdbloodlustbanpaiahantd; fahrenheit911; diehard; onceupontimeinchinawongfeihung; oncethiefzonghengsihai; ghostinshell2innocencekinnocenceinosensu; hardcandy; ongbakthaiwarriorongbak; shaolinsoccersiulamjukkau; dogma; shanghainoon; buffalosoldiers; hitch; ringuring; playingbyheart; planetofapes; hook; youvegotmail
34,3,The Fifth Element (1997),fifthelement,in_dataset,False,True,vampirehunterdbloodlustbanpaiahantd; fahrenheit911; diehard; onceupontimeinchinawongfeihung; oncethiefzonghengsihai; ghostinshell2innocencekinnocenceinosensu; hardcandy; ongbakthaiwarriorongbak; shaolinsoccersiulamjukkau; dogma; shanghainoon; buffalosoldiers; hitch; ringuring; playingbyheart; planetofapes; hook; youvegotmail
34,4,Battle Royale (2000),battleroyale,not_in_dataset,False,False,vampirehunterdbloodlustbanpaiahantd; fahrenheit911; diehard; onceupontimeinchinawongfeihung; oncethiefzonghengsihai; ghostinshell2innocencekinnocenceinosensu; hardcandy; ongbakthaiwarriorongbak; shaolinsoccersiulamjukkau; dogma; shanghainoon; buffalosoldiers; hitch; ringuring; playingbyheart; planetofapes; hook; youvegotmail
34,5,The Raid: Redemption (2011),raidredemption,in_dataset,False,True,vampirehunterdbloodlustbanpaiahantd; fahrenheit911; diehard; onceupontimeinchinawongfeihung; oncethiefzonghengsihai; ghostinshell2innocencekinnocenceinosensu; hardcandy; ongbakthaiwarriorongbak; shaolinsoccersiulamjukkau; dogma; shanghainoon; buffalosoldiers; hitch; ringuring; playingbyheart; planetofapes; hook; youvegotmail
90,1,Shakespeare in Love,shakespeareinlove,in_dataset,False,True,mother; lastklezmerleopoldkozlowskihislifeandmusic; freeway; wildreedslesroseauxsauvages; portraitoflady; linekingalhirschfeldstory; slingblade; singlegirlfilleseulela; hustlerwhite; pompatusoflove; prefontaine
90,2,Billy's Hollywood Screen Kiss,billyshollywoodscreenkiss,not_in_dataset,False,False,mother; lastklezmerleopoldkozlowskihislifeandmusic; freeway; wildreedslesroseauxsauvages; portraitoflady; linekingalhirschfeldstory; slingblade; singlegirlfilleseulela; hustlerwhite; pompatusoflove; prefontaine
90,3,Trainspotting,trainspotting,in_dataset,False,True,mother; lastklezmerleopoldkozlowskihislifeandmusic; freeway; wildreedslesroseauxsauvages; portraitoflady; linekingalhirschfeldstory; slingblade; singlegirlfilleseulela; hustlerwhite; pompatusoflove; prefontaine
90,4,The English Patient,englishpatient,in_dataset,False,True,mother; lastklezmerleopoldkozlowskihislifeandmusic; freeway; wildreedslesroseauxsauvages; portraitoflady; linekingalhirschfeldstory; slingblade; singlegirlfilleseulela; hustlerwhite; pompatusoflove; prefontaine
90,5,My Own Private Idaho,myownprivateidaho,in_dataset,False,True,mother; lastklezmerleopoldkozlowskihislifeandmusic; freeway; wildreedslesroseauxsauvages; portraitoflady; linekingalhirschfeldstory; slingblade; singlegirlfilleseulela; hustlerwhite; pompatusoflove; prefontaine
264,1,The Princess Bride,princessbride,in_dataset,False,True,independencedaykid4; starwarsepisodevireturnofjedi; starwarsepisodevempirestrikesback; schindlerslist; twelvemonkeysk12monkeys; stargate; missionimpossible; matrix; startrekgenerations; sixthsense; interviewwithvampirevampirechronicles; mask
264,2,Braveheart,braveheart,in_dataset,False,True,independencedaykid4; starwarsepisodevireturnofjedi; starwarsepisodevempirestrikesback; schindlerslist; twelvemonkeysk12monkeys; stargate; missionimpossible; matrix; startrekgenerations; sixthsense; interviewwithvampirevampirechronicles; mask
264,3,Schindler's List,schindlerslist,match,True,True,independencedaykid4; starwarsepisodevireturnofjedi; starwarsepisodevempirestrikesback; schindlerslist; twelvemonkeysk12monkeys; stargate; missionimpossible; matrix; startrekgenerations; sixthsense; interviewwithvampirevampirechronicles; mask
264,4,The Shawshank Redemption,shawshankredemption,in_dataset,False,True,independencedaykid4; starwarsepisodevireturnofjedi; starwarsepisodevempirestrikesback; schindlerslist; twelvemonkeysk12monkeys; stargate; missionimpossible; matrix; startrekgenerations; sixthsense; interviewwithvampirevampirechronicles; mask
264,5,Beauty and the Beast,beautyandbeast,in_dataset,False,True,independencedaykid4; starwarsepisodevireturnofjedi; starwarsepisodevempirestrikesback; schindlerslist; twelvemonkeysk12monkeys; stargate; missionimpossible; matrix; startrekgenerations; sixthsense; interviewwithvampirevampirechronicles; mask
223,1,The Shawshank Redemption,shawshankredemption,in_dataset,False,True,matrixreloaded; twister; braveheart; monstersinc; austinpowersspywhoshaggedme; fargo; ameliefabuleuxdestindamliepoulainle; jurassicpark; harrypotterandprisonerofazkaban; mask; montypythonandholygrail; harrypotterandsorcerersstonekharrypotterandphilosophersstone; darkknight; groundhogday; panslabyrinthlaberintodelfaunoel
223,2,Jurassic Park,jurassicpark,match,True,True,matrixreloaded; twister; braveheart; monstersinc; austinpowersspywhoshaggedme; fargo; ameliefabuleuxdestindamliepoulainle; jurassicpark; harrypotterandprisonerofazkaban; mask; montypythonandholygrail; harrypotterandsorcerersstonekharrypotterandphilosophersstone; darkknight; groundhogday; panslabyrinthlaberintodelfaunoel
223,3,The Prestige,prestige,in_dataset,False,True,matrixreloaded; twister; braveheart; monstersinc; austinpowersspywhoshaggedme; fargo; ameliefabuleuxdestindamliepoulainle; jurassicpark; harrypotterandprisonerofazkaban; mask; montypythonandholygrail; harrypotterandsorcerersstonekharrypotterandphilosophersstone; darkknight; groundhogday; panslabyrinthlaberintodelfaunoel
223,4,The Incredibles,incredibles,in_dataset,False,True,matrixreloaded; twister; braveheart; monstersinc; austinpowersspywhoshaggedme; fargo; ameliefabuleuxdestindamliepoulainle; jurassicpark; harrypotterandprisonerofazkaban; mask; montypythonandholygrail; harrypotterandsorcerersstonekharrypotterandphilosophersstone; darkknight; groundhogday; panslabyrinthlaberintodelfaunoel
223,5,Mad Max: Fury Road,madmaxfuryroad,in_dataset,False,True,matrixreloaded; twister; braveheart; monstersinc; austinpowersspywhoshaggedme; fargo; ameliefabuleuxdestindamliepoulainle; jurassicpark; harrypotterandprisonerofazkaban; mask; montypythonandholygrail; harrypotterandsorcerersstonekharrypotterandphilosophersstone; darkknight; groundhogday; panslabyrinthlaberintodelfaunoel
